id,s_id,stamp,time,amplitude
186,186,20230502185208,214332,225
187,187,20230502185208,215484,218
188,188,20230502185208,216636,210
189,189,20230502185208,217788,204
190,190,20230502185208,218940,211
191,191,20230502185208,220092,215
192,192,20230502185208,221244,219
193,193,20230502185208,222396,221
194,194,20230502185208,223548,215
195,195,20230502185208,224700,207
196,196,20230502185208,225852,208
197,197,20230502185208,227004,214
198,198,20230502185208,228156,217
199,199,20230502185208,229308,227
200,200,20230502185208,230460,223
201,201,20230502185208,231612,219
202,202,20230502185208,232764,213
203,203,20230502185208,233916,211
204,204,20230502185208,235068,215
205,205,20230502185208,236220,222
206,206,20230502185208,237372,226
207,207,20230502185208,238524,220
208,208,20230502185208,239676,213
209,209,20230502185208,240828,210
210,210,20230502185208,241980,214
211,211,20230502185208,243132,215
212,212,20230502185208,244284,226
213,213,20230502185208,245436,222
214,214,20230502185208,246588,215
215,215,20230502185208,247740,209
216,216,20230502185208,248892,211
217,217,20230502185208,250044,215
218,218,20230502185208,251196,220
219,219,20230502185208,252348,221
220,220,20230502185208,253500,215
221,221,20230502185208,254652,210
222,222,20230502185208,255804,209
223,223,20230502185208,256956,214
224,224,20230502185208,258108,217
225,225,20230502185208,259260,223
226,226,20230502185208,260412,220
227,227,20230502185208,261564,215
228,228,20230502185208,262716,210
229,229,20230502185208,263868,211
230,230,20230502185208,265020,216
231,231,20230502185208,266172,221
232,232,20230502185208,267324,222
233,233,20230502185208,268476,219
234,234,20230502185208,269628,215
235,235,20230502185208,270780,210
236,236,20230502185208,271932,213
237,237,20230502185208,273084,218
238,238,20230502185208,274236,224
239,239,20230502185208,275388,221
240,240,20230502185208,276540,217
241,241,20230502185208,277692,214
242,242,20230502185208,278844,212
243,243,20230502185208,279996,215
244,244,20230502185208,281148,222
245,245,20230502185208,282300,222
246,246,20230502185208,283452,219
247,247,20230502185208,284604,214
248,248,20230502185208,285756,211
249,249,20230502185208,286908,214
250,250,20230502185208,288060,217
251,251,20230502185208,289212,222
252,252,20230502185208,290364,219
253,253,20230502185208,291516,215
254,254,20230502185208,292668,210
255,255,20230502185208,293820,212
256,256,20230502185208,294972,215
257,257,20230502185208,296124,220
258,258,20230502185208,297276,221
259,259,20230502185208,298428,219
260,260,20230502185208,299580,215
261,261,20230502185208,300732,211
262,262,20230502185208,301884,215
263,263,20230502185208,303036,218
264,264,20230502185208,304188,220
265,265,20230502185208,305340,218
266,266,20230502185208,306492,215
267,267,20230502185208,307644,211
268,268,20230502185208,308796,213
269,269,20230502185208,309948,216
270,270,20230502185208,311100,220
271,271,20230502185208,312252,221
272,272,20230502185208,313404,219
273,273,20230502185208,314556,216
274,274,20230502185208,315708,211
275,275,20230502185208,316860,215
276,276,20230502185208,318012,218
277,277,20230502185208,319164,220
278,278,20230502185208,320316,221
279,279,20230502185208,321468,219
280,280,20230502185208,322620,213
281,281,20230502185208,323772,213
282,282,20230502185208,324924,216
283,283,20230502185208,326076,218
284,284,20230502185208,327228,216
285,285,20230502185208,328380,215
286,286,20230502185208,329532,212
287,287,20230502185208,330684,211
288,288,20230502185208,331836,214
289,289,20230502185208,332988,218
290,290,20230502185208,334140,218
291,291,20230502185208,335292,218
292,292,20230502185208,336444,218
293,293,20230502185208,337596,214
294,294,20230502185208,338748,213
295,295,20230502185208,339900,215
296,296,20230502185208,341052,220
297,297,20230502185208,342204,219
298,298,20230502185208,343356,217
299,299,20230502185208,344508,215
300,300,20230502185208,345660,211
301,301,20230502185208,346812,215
302,302,20230502185208,347964,218
303,303,20230502185208,349116,215
304,304,20230502185208,350268,214
305,305,20230502185208,351420,216
306,306,20230502185208,352572,211
307,307,20230502185208,353724,214
308,308,20230502185208,354876,217
309,309,20230502185208,356028,219
310,310,20230502185208,357180,216
311,311,20230502185208,358332,215
312,312,20230502185208,359484,214
313,313,20230502185208,360636,211
314,314,20230502185208,361788,214
315,315,20230502185208,362940,215
316,316,20230502185208,364092,213
317,317,20230502185208,365244,212
318,318,20230502185208,366396,211
319,319,20230502185208,367548,211
320,320,20230502185208,368700,213
321,321,20230502185208,369852,216
322,322,20230502185208,371004,217
323,323,20230502185208,372156,214
324,324,20230502185208,373308,215
325,325,20230502185208,374460,216
326,326,20230502185208,375612,211
327,327,20230502185208,376764,215
328,328,20230502185208,377916,220
329,329,20230502185208,379068,222
330,330,20230502185208,380220,219
331,331,20230502185208,381372,216
332,332,20230502185209,382524,213
333,333,20230502185209,383676,214
334,334,20230502185209,384828,216
335,335,20230502185209,385980,215
336,336,20230502185209,387132,210
337,337,20230502185209,388284,210
338,338,20230502185209,389436,211
339,339,20230502185209,390588,210
340,340,20230502185209,391740,215
341,341,20230502185209,392892,218
342,342,20230502185209,394044,216
343,343,20230502185209,395196,214
344,344,20230502185209,396348,215
345,345,20230502185209,397500,212
346,346,20230502185209,398652,215
347,347,20230502185209,399804,217
348,348,20230502185209,400956,219
349,349,20230502185209,402108,215
350,350,20230502185209,403260,214
351,351,20230502185209,404412,214
352,352,20230502185209,405564,211
353,353,20230502185209,406716,215
354,354,20230502185209,407868,219
355,355,20230502185209,409020,214
356,356,20230502185209,410172,210
357,357,20230502185209,411324,211
358,358,20230502185209,412476,210
359,359,20230502185209,413628,214
360,360,20230502185209,414780,217
361,361,20230502185209,415932,234
362,362,20230502185209,417084,239
363,363,20230502185209,418236,246
364,364,20230502185209,419388,245
365,365,20230502185209,420540,212
366,366,20230502185209,421692,216
367,367,20230502185209,422844,215
368,368,20230502185209,423996,199
369,369,20230502185209,425148,183
370,370,20230502185209,426300,170
371,371,20230502185209,427452,195
372,372,20230502185209,428604,208
373,373,20230502185209,429756,213
374,374,20230502185209,430908,168
375,375,20230502185209,432064,173
376,376,20230502185209,433216,187
377,377,20230502185209,434368,202
378,378,20230502185209,435520,211
379,379,20230502185209,436672,215
380,380,20230502185209,437824,237
381,381,20230502185209,438976,249
382,382,20230502185209,440128,250
383,383,20230502185209,441280,253
384,384,20230502185209,442432,221
385,385,20230502185209,443584,219
386,386,20230502185209,444736,219
387,387,20230502185209,445888,247
388,388,20230502185209,447040,232
389,389,20230502185209,448192,220
390,390,20230502185209,449344,211
391,391,20230502185209,450496,211
392,392,20230502185209,451648,215
393,393,20230502185209,452800,209
394,394,20230502185209,453952,198
395,395,20230502185209,455104,194
396,396,20230502185209,456256,197
397,397,20230502185209,457408,208
398,398,20230502185209,458560,215
399,399,20230502185209,459712,218
400,400,20230502185209,460864,226
401,401,20230502185209,462016,220
402,402,20230502185209,463168,213
403,403,20230502185209,464320,210
404,404,20230502185209,465472,211
405,405,20230502185209,466624,215
406,406,20230502185209,467776,214
407,407,20230502185209,468928,204
408,408,20230502185209,470080,197
409,409,20230502185209,471232,196
410,410,20230502185209,472384,208
411,411,20230502185209,473536,215
412,412,20230502185209,474688,218
413,413,20230502185209,475840,226
414,414,20230502185209,476992,221
415,415,20230502185209,478144,218
416,416,20230502185209,479296,215
417,417,20230502185209,480448,213
418,418,20230502185209,481600,216
419,419,20230502185209,482752,226
420,420,20230502185209,483904,219
421,421,20230502185209,485056,209
422,422,20230502185209,486208,205
423,423,20230502185209,487360,210
424,424,20230502185209,488512,215
425,425,20230502185209,489664,218
426,426,20230502185209,490816,218
427,427,20230502185209,491968,212
428,428,20230502185209,493120,209
429,429,20230502185209,494272,210
430,430,20230502185209,495424,213
431,431,20230502185209,496576,216
432,432,20230502185209,497728,229
433,433,20230502185209,498880,223
434,434,20230502185209,500032,215
435,435,20230502185209,501184,210
436,436,20230502185209,502336,211
437,437,20230502185209,503488,215
438,438,20230502185209,504640,219
439,439,20230502185209,505792,218
440,440,20230502185209,506944,208
441,441,20230502185209,508096,201
